-------------------------------
  Cluster: 	 Mophological.cluster.G4_20 
 -------------------------------
 Number of up-regulated genes:	 127 
 Number of down-regulated genes:	 28 
 -------------------------------
 Gene	baseMean	log2	P	Padj 
 ENSG00000173991.5	 371.9920	0.5721414	5.641241e-30	8.373293e-26
ENSG00000166819.11	 689.7306	0.4108978	7.805998e-09	7.724295e-06
ENSG00000167588.12	 449.0463	0.4073416	1.259541e-07	8.902557e-05
ENSG00000183091.19	1066.1734	0.3911201	2.687441e-08	2.216094e-05
ENSG00000177791.11	 261.6074	0.3853443	1.303510e-22	6.449334e-19
ENSG00000196218.12	 311.3694	0.3701523	6.833180e-18	2.028498e-14
ENSG00000068976.13	 810.9968	0.3685181	8.612290e-19	3.195806e-15
ENSG00000185482.7	 187.3962	0.3544211	9.772142e-25	7.252395e-21
ENSG00000018625.14	 966.3244	0.3332645	1.304514e-09	1.613575e-06
ENSG00000135447.16	 215.9317	0.3305502	1.502347e-12	2.787417e-09
